Days	Page Impressions	Visits	Bounces
2012-12-15	377034	48646	20099
2012-12-16	355399	46439	19454
2012-12-17	401377	54256	22993
2012-12-18	410299	54312	22796
2012-12-19	406437	53949	23191
2012-12-20	370144	49231	21096
2012-12-21	387491	50771	22250
2012-12-22	302968	44901	20557
2012-12-23	275584	42305	20250
